company,n_sites,name_variants,company_source,parent_codes,n_countries,countries,regions,verticals,customer_classes,best_segmentation,has_hq_site,fda_any,first_created,last_updated,n_flag_review
Marconi Communications,1,,site_name,Telent,1,Ireland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
6K Energy,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2022-10-20,2024-11-01,0
Mapinfo Australia Pty Ltd,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Mando (Beijing) Automotive,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Mando (Harbin) Automotive,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Mando Suzhou Chassis System,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Mandus Group Ltd,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Manhein Auctions,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Manila Bulletin,1,,site_name,,1,Philippines,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-28,0
Manitowoc,1,,site_name,Manito,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
A to Z Solutions for Trading Est.,1,,site_name,,1,Saudi Arabia,EMEA,,Distributor (50),,False,False,2020-10-31,2023-04-29,0
9th Street Capital,1,,site_name,Coorst,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Manitowoc Crane Group Asia,1,,site_name,Manito,1,Singapore,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Mann & Hummel Automotive Inc,1,,site_name,,1,United States,North America,Automotive,Former Customer,,False,False,2020-10-31,2025-10-03,0
Manuel Rodrigues Oliveira,1,,site_name,,1,Portugal,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Manufacturas Kaltex S.A. de,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Manufacturas Rassini, S.A. de C.V.",1,,site_name,Rassin,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-07-17,0
Manufacturas Zapaliname S.A. de C.V.,1,,site_name,,1,Mexico,Latin America,Other,Bill-To,,False,False,2020-11-01,2024-11-01,0
A Raymond GmBH & CO KG,1,,site_name,Araymo,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Manufacturers' Services Ltd,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Manitowoc Crane Group,1,,site_name,Manito,1,Italy,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Nippon Carbide Industries,1,,global_hq_rollup,,1,Japan,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Nippon Carbide Industries Co,1,,site_name,,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Xerox Off Printing,1,,site_name,Xeroxc,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Nippon Express (H.K.) Co Ltd,1,,site_name,,1,Hong Kong,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Nippon Express Co Ltd,1,,global_hq_rollup,,1,United States,North America,Automotive,Customer,,False,False,2022-10-20,2024-11-01,0
Nippon Piston Ring Co. LTD,1,,site_name,,1,Japan,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
"Nippon Reinz Co., Ltd",1,,site_name,Danaco,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Mirion Technologies, Inc.",1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,False,False,2020-10-31,2025-10-03,0
"Nippon Sheet Glass Co., Ltd.",1,,global_hq_rollup,,1,United Kingdom,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Nishan Systems,1,,global_hq_rollup,,1,United States,North America,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Nisko Electronic Products,1,,global_hq_rollup,,1,Israel,EMEA,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Xerox EDS,1,,site_name,Xeroxc,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nissan West Europe,1,,site_name,,1,France,EMEA,,Prospect,,False,False,2020-10-31,2023-04-29,0
Nissel Display Sales And,1,,site_name,Nseiki,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Nisshinbo Holdings Inc.,1,,global_hq_rollup,,1,United Kingdom,EMEA,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Xerox Corp. PDP Div,1,,site_name,Xeroxc,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Xerox Mexicana S.A. de C.V.,1,,site_name,Xeroxc,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Ningbo Jiebao Group Co., Ltd",1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Ningbo Jifeng Auto Parts Co., Ltd.",1,,global_hq_rollup,Gramme,1,Germany,EMEA,Automotive,Inactive,,False,False,2021-11-23,2024-11-01,0
XiaMen G&P Electronics,1,,global_hq_rollup,,1,China,Asia-Pacific,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Xerox/Impact,1,,site_name,Xeroxc,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Ningbo Kangqiang Electronics Co., Ltd.",1,,global_hq_rollup,,1,United States,North America,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Ningbo Plastic Omnium Auto Inergy Co. Ltd.,1,,site_name,Plasti,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
"Ningbo Seng CZE Macrospray Co.,Ltd",1,,global_hq_rollup,,1,China,Asia-Pacific,Industrial,Customer,,True,False,2021-06-08,2025-10-03,0
Nintendo of Europe GmbH,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2021-01-14,2023-04-29,0
"Ningbo Shuaitelong Group Co.,Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
"Ningbo Sinppa Tools Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Automotive,Former Customer,,False,False,2020-10-31,2025-10-03,0
Xerox XIP,1,,site_name,Xeroxc,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Ningbo Swell IndustryCo. Ltd,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Ningbo Tip Automobile Parts,1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
"Ningbo Yongjia Auto Parts Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
"Ningbo Yuanshuo Electronic Technology Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,,Partner,,False,False,2021-07-24,2024-11-22,0
Ninian & Lester,1,,global_hq_rollup,Ninian,1,South Africa,EMEA,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Ningbo Shenglong Group,1,,global_hq_rollup,,1,United States,North America,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
"Nomura Research Institute (Beijing), Ltd. (Shanghai Branch)",1,,site_name,,1,China,Asia-Pacific,Consumer Products,Partner,,False,False,2020-11-14,2025-10-03,0
Xefitech,1,,site_name,,1,France,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Nomura Research Institute, Ltd. (Osaka Center)",1,,site_name,,1,Japan,Asia-Pacific,Other,Partner,,False,False,2020-10-31,2025-10-03,0
"Nomura Research Institute, Ltd. (Yokohama Center)",1,,site_name,,1,Japan,Asia-Pacific,Other,Partner,,False,False,2020-10-31,2025-10-03,0
Norco Co-Operative Limited,1,,site_name,,1,Australia,Asia-Pacific,Food & Beverage,Customer,,False,False,2020-10-31,2025-10-03,0
Norco Foodservices a div. of,1,,site_name,Pfdfoo,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Xchem Chemicals (Pty) Ltd.,1,,site_name,,1,South Africa,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"Nitori Taiwan Co., Ltd.",1,,site_name,,1,Taiwan,Asia-Pacific,Consumer Products,Former Customer,,False,False,2020-10-31,2025-10-03,0
Xanthi Bogdan Matyja,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Xanodyne Pharmaceuticals Inc,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Nordion International Inc.,1,,site_name,,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nordis Chlodnie Polskie,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-28,0
Xactico S.A. de C.V.,1,,global_hq_rollup,,1,Mexico,Latin America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
"XTRA Congelados Naturales, S.A. de C.V.",1,,site_name,,1,Mexico,Latin America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
Nordklima Luft- und,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Nordson Corporation,1,,global_hq_rollup,,1,United States,North America,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Norcros Plc,1,,global_hq_rollup,,1,United Kingdom,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Nitron S.A.,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"Nitto Automotive, Inc.",1,,site_name,,1,United States,North America,,Customer,,False,False,2021-02-18,2023-04-29,0
Noah Medical,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-03-05,2023-04-29,0
Nodet Gougis,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Xerox Channels Limited,1,,site_name,Xeroxc,1,Ireland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Noise Laboratory Co. Ltd,1,,site_name,,1,Japan,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Xerox Canada Ltd,1,,site_name,Xeroxc,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nokia Mobile Phones Ltd.,1,,site_name,,1,Finland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Nomura Resarch Institute Ltd,1,,site_name,,1,Japan,Asia-Pacific,,Partner,,False,False,2020-10-31,2024-11-22,0
Xerox - Xbs,1,,site_name,Xeroxc,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nolato Mobile Communication,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
Noma Industrial Cords Inc.,1,,site_name,,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Xerox,1,,site_name,Xeroxc,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Noma Industries Ltd,1,,site_name,,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nomac Energy Systems,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Xella International GmbH,1,,global_hq_rollup,Xellai,1,United States,North America,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Xel Communications Inc,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Xerox Accounts Payable,1,,site_name,Xeroxc,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Xtant Medical Inc.,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
New Tech Metals,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Xsoft,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
New Thermo-Serv,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
New Work SE (XING),1,,site_name,,1,Germany,EMEA,,Distributor,,False,False,2021-02-02,2023-04-29,0
Xpress Wroclaw Sp. z o.o.,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
New World Foods Pty,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Ningbo Huazhong Plastic Co.,ltd",1,,site_name,,1,China,Asia-Pacific,,Distributor,,False,False,2020-10-31,2023-04-29,0
New Zealand Starch Limited,1,,global_hq_rollup,,1,New Zealand,Asia-Pacific,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Xoft Microtube Inc.,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
New-Tec Integration Co Ltd,1,,site_name,,1,China,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Newbridge Networks,1,,site_name,Alcate,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Newell Brands,1,,global_hq_rollup,,1,Brazil,Latin America,Consumer Products,Customer,,False,False,2020-10-31,2024-11-01,0
Nexa Orthopedics Inc.,1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,True,False,2020-10-31,2025-10-03,0
Xinyi Automobile Glass (Shen,1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2020-10-31,2024-11-01,0
Nexgen,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Xomox Chihuahua SA DE CV,1,,site_name,Cranec,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nepon Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-28,0
Neptune (Europe) Limited,1,,site_name,,1,United Kingdom,EMEA,,Prospect,,False,False,2020-10-31,2023-04-29,0
Neptune Technology Group Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
YASH Technologies Private Limited,1,,global_hq_rollup,,1,United States,North America,Consumer Products,Partner,,True,False,2020-10-31,2025-10-03,0
Xylem Analytics DO NOT USE**,1,,site_name,Xylemi,1,Germany,EMEA,,Customer,,False,False,2021-12-17,2022-02-23,1
Netbridge,1,,site_name,,1,Australia,Asia-Pacific,,Partner,,False,False,2020-10-31,2024-11-22,0
Netbridge Systems,1,,site_name,,1,Australia,Asia-Pacific,,Partner,,False,False,2020-10-31,2024-11-22,0
Network Peripherals,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"New Star FTZ Group, Inc.",1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-27,2023-04-29,0
Neurosoft Inc,1,,site_name,Marmon,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Neusoft Corporation,1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,False,False,2021-07-23,2024-11-01,0
New City (Group) Limited,1,,site_name,,1,Hong Kong,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
New England Capital Corp,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Xycom Inc,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"New Horizons Baking Co. Inc. (Norwalk,Ohio)",1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
New Mather Metals Inc.,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
"New Mountain Capital (New York City,New York)",1,,global_hq_rollup,,1,United States,North America,Life Sciences,Former Customer,,False,False,2024-02-24,2025-10-03,0
Neumann Steel Pty Ltd,1,,site_name,,1,Australia,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Nidec Motors and Actuators,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Nidec Vietnam Company Limited,1,,site_name,Nidecc,1,Vietnam,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Nido Universal Machines B.V.,1,,site_name,,1,Netherlands,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Niebo GmbH,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2021-02-02,2023-04-29,0
"Nihon Magnesio, S.A. de C.V.",1,,site_name,Nihonp,1,Mexico,Latin America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
Nihon Seishi K.K.,1,,site_name,,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Xiamen JAF Packing Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,Industrial,Former Customer,,False,False,2022-01-07,2025-10-03,0
XingJiang Steering Gear,1,,site_name,,1,China,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Nihon Silicon Graphics K.K.,1,,site_name,Silico,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Nike Airsole Manufacturing,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nike Inc.,1,,global_hq_rollup,,1,United States,North America,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Nimpon Trade en Services BV,1,,site_name,,1,Netherlands,EMEA,,Bill-To,,False,False,2020-11-01,2023-04-29,0
NingBo Self Electronics Co,1,,site_name,,1,China,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
"Ningbo Acson Automotive Electronics Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
Ningbo Auto Cable Controls,1,,site_name,,1,China,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Ningbo Changhua AutoProducts,1,,site_name,Ningbo,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
XiaMen Golden Dragon Auto,1,,global_hq_rollup,Xgolde,1,China,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
"Next Vegetales, S.A. de C.V.",1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-07-17,0
Xin Hua Business Consultants,1,,site_name,,1,Hong Kong,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Xilinx Asia Pacific Pte. Ltd.,1,,site_name,,1,Singapore,Asia-Pacific,,Customer,,False,False,2020-10-31,2024-10-18,0
"Xignux Corporativo, S.A. de C.V.",1,,site_name,Xignux,1,Mexico,Latin America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
Nexteer Plant 14 Prototype,1,,site_name,Nextee,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Nextera BPS,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Nextira One,1,,global_hq_rollup,,1,United Kingdom,EMEA,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Xignux,1,,global_hq_rollup,Xignux,1,Mexico,Latin America,Food & Beverage,Customer,,False,False,2020-10-31,2025-10-03,0
Xiamen Wisetech Electronics,1,,global_hq_rollup,,1,China,Asia-Pacific,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
"Nexus DX, Inc",1,,site_name,Samsun,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
Nexus Pty. Ltd.,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Nibe Biawar Sp. z o.o.,1,,global_hq_rollup,,1,Poland,EMEA,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Nibong Tebal Paper Mill Sdn,1,,global_hq_rollup,,1,Malaysia,Asia-Pacific,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Nicco Industry Co. Ltd.,1,,site_name,,1,Thailand,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
"Xiexing Screws Industry (Dongguan) Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Xiamen eWay Information &,1,,global_hq_rollup,,1,China,Asia-Pacific,Other,Partner,,True,False,2020-10-31,2025-10-03,0
Nichols Institue Diagnostics,1,,site_name,Questd,1,France,EMEA,,Prospect,,False,False,2020-10-31,2023-04-29,0
Nextstep Communications Inc.,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Wuhu Yi An Automobile Air-Co,1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
OPCAIM s/c ADEFIM 68,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
OPCAIM s/c ADEFIM Loire,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
OPCAIM s/c ADEFIM SOMME,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
OPCAIM-ADEFIM FRANCHE-COMTE,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
OPCAIM/ADEFIM Bretagne,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
OPCALIA,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Nordx/Cdt,1,,site_name,,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Wuhu Qiangzhen Auto Fasteners Co.,1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
Wuhan Uta-Dcac Auto Ele. Co,1,,site_name,Learco,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Wuhan Hengtong Automobile Wiring Harness Co., LTD",1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-07-17,0
"Wuhan East Asia Composite Automobile Parts Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
OPCO ATLAS,1,,site_name,,1,France,EMEA,,Customer,,False,False,2022-01-12,2023-04-29,0
OPCO des entreprises de proximité,1,,site_name,,1,France,EMEA,Other,Customer,,False,False,2021-01-14,2024-11-01,0
"Wuhan Dongyan Intelligent Design Institute Co., Ltd.",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2022-06-15,2024-11-01,0
WuHan Telecommunication,1,,site_name,,1,China,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
OPCALIA IDF,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
O.S.I. Pty Ltd **See Di**,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,1
O.W.D.,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
"O/A Bazaar Marketing (St Catharines,)",1,,global_hq_rollup,,1,Canada,North America,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
OAO Farmstandart,1,,site_name,,1,Russian Federation,EMEA,Life Sciences,Customer,,False,False,2020-10-31,2025-11-25,0
OASU Global Manufacturing,1,,site_name,,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"OBlockz, LLC",1,,site_name,,1,United States,North America,Other,Customer,,False,False,2023-10-21,2024-11-01,0
OCAPIAT,1,,site_name,,1,France,EMEA,Other,Customer,,False,False,2020-10-31,2024-11-01,0
OCEAN GLASS PUBLIC CO. LTD.,1,,site_name,,1,Thailand,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
OPCAIM (ADEFIM Sarthe),1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Wuxi Inoue Huaguang,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
OCP Repartition SAS,1,,site_name,,1,France,EMEA,Industrial,Former Customer,C,False,False,2020-10-31,2025-10-03,0
OCTAVIO LUIS ALVAREZ RAVELO,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
OGA International Co. Ltd,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
OM Partners N.V.,1,,site_name,,1,Belgium,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
OPCA DEFI,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
OPCA DT NORD,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Wuxi Huaguang Automobile,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
OCP Repartition,1,,site_name,,1,France,EMEA,Industrial,Former Customer,,False,False,2020-10-31,2025-10-03,0
"Ocknol (Hangzhou) Automotive Technology Co., Ltd.",1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,True,False,2022-04-14,2025-10-03,0
Oddello Industries LLC,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Odenwald-Chemie GmbH,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Worldcom Wireless,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Odesa S.A. de C.V.,1,,site_name,,1,Mexico,Latin America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Odlewnie Polskie S.A.,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Oerlemans Foods Polska Sp z o.o.,1,,site_name,Oerlem,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
OPEN PSL,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Ofimedicine B.V.,1,,global_hq_rollup,,1,Netherlands,EMEA,Life Sciences,Customer,,True,False,2023-05-11,2025-10-03,0
"Ogawa Asia Co., Ltd.",1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Ogura Clutch Co., Ltd.",1,,global_hq_rollup,Ogurac,1,France,EMEA,Automotive,Customer,,False,False,2020-10-31,2025-10-14,0
Ohio Bell,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Ohmeda,1,,site_name,Genera,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Ohmeda - The Boc Group,1,,site_name,Genera,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Ohmeda Medical,1,,site_name,Genera,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Oiles America Corporation,1,,global_hq_rollup,,1,United States,North America,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
"Offshore Flexible Pipe, LLC",1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-27,2023-04-29,0
ORFEVRERIE CHRISTOFLE,1,,global_hq_rollup,,1,France,EMEA,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
ORHAN International B.V.,1,,global_hq_rollup,,1,Mexico,Latin America,Automotive,Customer,,False,False,2021-04-30,2024-11-01,0
"OSI Systems, Inc.",1,,global_hq_rollup,,1,United States,North America,Life Sciences,Customer,,False,False,2020-10-31,2025-10-03,0
OSRAM Sylvania Inc. MC,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Wright and Company,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Wraprite Ltd,1,,site_name,,1,Ireland,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
